GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
GO:2001233,regulation of apoptotic signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1292434497257973,0.0,-2.552770171274619,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009895,negative regulation of catabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4167921119710662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.072993545270044,0.0,0.0,0.0,0.0,0.0,0.0
GO:0065002,intracellular protein transmembrane transport,0.0,0.0,0.0,0.0,0.0,-2.0618098089175083,0.0,-2.4164413600454377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.11992117641558,0.0,0.0,-2.1879455578273888,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-913531,Interferon Signaling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.457641489190073,0.0,0.0,0.0,0.0,0.0
R-MMU-5357801,Programmed Cell Death,0.0,0.0,0.0,-2.5012092376873705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0090066,regulation of anatomical structure size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.20449439245049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-1266738,Developmental Biology,0.0,-3.815491697653178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4850248903680026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmu05211,Renal cell carcinoma - Mus musculus (house mouse),0.0,-2.6220945826352553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0147632343968915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7449286788017915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8901007304356714,0.0
mmu05132,Salmonella infection - Mus musculus (house mouse),0.0,0.0,-2.998451653048722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.841182015599546,0.0,0.0,-2.001537836990943,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-8856828,Clathrin-mediated endocytosis,0.0,0.0,-2.7202389773016313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.369241078371431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-3700989,Transcriptional Regulation by TP53,0.0,0.0,-2.2692319538387844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.613679607547776,0.0,0.0,0.0,-2.1484175249237007,0.0,0.0,0.0,0.0,0.0
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,0.0,-2.814771838405886,-3.870704021993197,-2.6218183650446676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.802517879290375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0032386,regulation of intracellular transport,0.0,-2.1564032032700884,-2.130046396011316,-2.292072949929637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.376893553936606,-2.8106486162486566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmu04140,Autophagy - animal - Mus musculus (house mouse),0.0,-2.9948129160429424,0.0,-3.8079662574071746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.035521154756914,0.0,0.0,-2.240958208069519,0.0,0.0,0.0,0.0,0.0,0.0
GO:1905897,regulation of response to endoplasmic reticulum stress,0.0,0.0,0.0,-3.5126403757934055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.373172818408476,0.0,0.0,-2.760693771535708,0.0,0.0,0.0,0.0,0.0,0.0
mmu04910,Insulin signaling pathway - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.677363597087729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.468698721086919,-2.3673718724964394,0.0,0.0,0.0,0.0,0.0,-2.5106045293755876,0.0,0.0
mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0969450654071444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.030066060824666,0.0,0.0,0.0
GO:0070482,response to oxygen levels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.173666852174518,0.0,0.0,0.0
CORUM:349,Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex,-4.351016169988173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.7451372645443,0.0,0.0,0.0
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0.0,0.0,0.0,0.0,-12.554264371723114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.007857722965505,0.0
GO:0006259,DNA metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.252521866575085,-4.071374206788601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006399,tRNA metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.221291638284281,-3.26554807670223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0007005,mitochondrion organization,0.0,-4.405722828628324,0.0,-2.840164834156109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6011612914321227,0.0,0.0,0.0,0.0,0.0,-2.157432160637695,-4.014806361718075,-5.0035598111859,0.0,0.0,0.0,0.0,0.0,0.0
GO:0031647,regulation of protein stability,0.0,-2.7182487243909033,0.0,-4.6044948884009935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.549745631766923,-2.396038211903576,-3.356813695311517,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-6799198,Complex I biogenesis,0.0,-2.1995263713318196,0.0,0.0,-2.7745473423472835,0.0,0.0,0.0,0.0,0.0,0.0,-14.33821110932394,0.0,0.0,0.0,0.0,0.0,-4.37469976415916,0.0,-7.211461793727758,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0,-3.9881786164900936,-3.265377317527207,0.0,0.0,-2.473522125356674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.453548521017152,0.0,-2.5422644106754184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061024,membrane organization,0.0,-6.348133422900236,-4.18227462050033,-3.3868391999588767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.020710898278132,0.0,-3.0165786921166213,-2.7739797901643684,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-9937383,Mitochondrial ribosome-associated quality control,-6.251276069215607,-11.380302579353812,-2.494715940824917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3311968730362334,0.0,-5.9543877153984415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0010496,intercellular transport,0.0,-7.91636815960874,-8.1959093515631,0.0,0.0,-2.421172162517054,0.0,-3.7297928395987534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.449195785265978,0.0,0.0,-4.246146953755819,0.0,0.0,0.0,0.0,0.0,0.0
GO:0048193,Golgi vesicle transport,-4.019420390104915,-3.505312294116607,-3.63271228060018,-2.454251171827078,0.0,-3.2834145793944027,0.0,-3.7129233808553908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.590442160588349,-3.3876010475255574,-2.637521849535646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006417,regulation of translation,0.0,-2.287121041118411,-3.1014627393785696,-2.840164834156109,0.0,-2.359829613706687,0.0,-3.2287993767111423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.910922881229584,-2.746897138482315,-2.253641776230049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-5653656,Vesicle-mediated transport,0.0,-5.340107575631945,-4.834151423392718,-2.7153747710086353,0.0,-3.0300087476633673,0.0,-5.224876057199377,-3.9837511132649968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.39490511734291,-5.235028626062335,-2.813726092904683,0.0,-2.0246780234271213,0.0,0.0,0.0,0.0,0.0
mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),0.0,-3.3564002473715298,-4.726801453122862,-4.361432060088157,-4.237811387600781,-2.0484608101841726,0.0,-6.68153577041835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6163546348582,-9.854564514217667,-3.7933244324349653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmu04137,Mitophagy - animal - Mus musculus (house mouse),0.0,0.0,-2.968803382537227,0.0,0.0,-2.2827532912628445,0.0,-3.464211435980628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.992765710599754,-3.1391645425235395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-MMU-8953897,Cellular responses to stimuli,0.0,-4.662665639589433,-7.692340174258221,-3.5321141413485804,-3.3468171556937145,0.0,0.0,0.0,-2.2447990423200155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.443727753911842,-2.224815660786252,0.0,0.0,-3.9583494807144852,0.0,0.0,0.0,0.0,0.0
GO:0009896,positive regulation of catabolic process,0.0,-6.578489693943526,-2.4165252330433615,-3.356185023258568,0.0,0.0,0.0,0.0,-2.578101040741287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.842254783060121,-2.3069141176854964,-2.5624343696541927,0.0,-2.0417729590346108,0.0,0.0,0.0,0.0,0.0
R-MMU-6798695,Neutrophil degranulation,0.0,0.0,-3.7357731955695583,-2.3958232868391534,-3.311319122270939,-2.305525639045195,0.0,0.0,-5.024544791960196,-2.315004509269033,0.0,0.0,0.0,0.0,0.0,0.0,-6.024949056769382,-4.770644662636071,0.0,0.0,-4.65442863534366,0.0,0.0,0.0,0.0,0.0
GO:0060341,regulation of cellular localization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7119134056140966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.600967537433889,-2.2589024081937303,0.0,0.0
mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.893621755746546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9866529591964897,0.0,0.0
GO:0006112,energy reserve metabolic process,0.0,0.0,0.0,0.0,-2.7811530843213736,0.0,0.0,0.0,0.0,0.0,-2.769179188739679,0.0,0.0,0.0,0.0,0.0,0.0,-2.65354189455553,0.0,0.0,0.0,0.0,-2.4106734686199314,-4.059858295420414,0.0,0.0
GO:0090257,regulation of muscle system process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.377841567087046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.517143960412895,-16.95000138958971,0.0,0.0
GO:0034762,regulation of transmembrane transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.816180650913291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.96063967234373,-4.773119422917953,0.0,0.0
GO:0003009,skeletal muscle contraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.617597670532852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8030204056853782,-10.219066303144697,0.0,0.0
GO:0044057,regulation of system process,0.0,0.0,0.0,-2.2562116372850105,0.0,0.0,0.0,0.0,0.0,0.0,-14.263776527675626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1529278031018295,-14.095787070905471,0.0,0.0
mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,-2.2464051059236367,0.0,0.0,0.0,-4.478282326161321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.362562862069795,-4.580735504725723,0.0,0.0
GO:0007507,heart development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.318321270408487,0.0,-5.711785510993798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6259462381627925,-9.786180783393053,-9.679922429695429,0.0,0.0
mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.1036867001996,0.0,-8.00908547036739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.901061741816495,-15.151894361877899,-46.199497646019424,0.0,0.0
mmu04260,Cardiac muscle contraction - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-10.972107786167273,0.0,0.0,0.0,0.0,0.0,-15.158417807462591,-2.4100123531740936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.626079182064062,0.0,0.0,-18.664548317010667,0.0,0.0
GO:0048732,gland development,0.0,0.0,0.0,-6.117640059383692,0.0,0.0,0.0,0.0,-6.252008277674201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.689943898736111,-2.5568005998273495,0.0,0.0,0.0,-2.3486332848049734,0.0
GO:0048545,response to steroid hormone,0.0,0.0,0.0,-3.1777240232859802,-3.857638914431751,0.0,0.0,0.0,-4.447945916254021,-2.7399349066171537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5058967834848405,-6.844813909953073,0.0,0.0,0.0,-3.438393382487013,0.0
GO:0006979,response to oxidative stress,0.0,0.0,0.0,-4.132210561945826,-2.469765244219439,0.0,0.0,0.0,-3.277398452499146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.439945901513224,0.0,0.0,0.0,0.0,0.0
mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse),0.0,0.0,0.0,-2.8946065961474576,0.0,0.0,0.0,0.0,0.0,-2.862258866324107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5916546083430534,0.0,0.0,0.0,-4.424482049180142,0.0
