GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
GO:0006641,triglyceride metabolic process,0.0,0.0,0.0,0.0,-4.505963568764418,0.0,0.0,0.0,-10.208245387066967,-5.314155446408556,0.0,0.0,-2.4720296063552185,0.0,0.0,0.0,0.0,-2.726904371744534,0.0,0.0,-11.246795531210328,0.0,0.0,0.0,-4.280003350073015,0.0
GO:0006639,acylglycerol metabolic process,0.0,0.0,0.0,0.0,-4.716540723809232,0.0,0.0,0.0,-9.719046818154844,-5.41906340136657,0.0,0.0,-2.0967647295168366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.105925602727558,0.0,0.0,0.0,-4.46935319931115,0.0
GO:0006959,humoral immune response,0.0,0.0,0.0,0.0,-2.7764689724646767,0.0,0.0,0.0,-11.082932482387852,-3.922674252166125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.720376132765196,0.0,0.0,0.0,-4.809070178902693,0.0
WP449,Complement and coagulation cascades,0.0,0.0,0.0,0.0,-3.1629902149473965,0.0,0.0,0.0,-11.838617126181257,-4.995447961480403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.451869975659294,0.0,0.0,0.0,-6.255702884148131,0.0
mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.6384642692161093,0.0,0.0,0.0,-20.067448855902978,-5.964623506900182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.263691312598149,0.0,0.0,-14.624338863073605,-2.376073146301222,0.0,0.0,-12.199333953213063,0.0
R-MMU-174824,"Plasma lipoprotein assembly, remodeling, and clearance",0.0,0.0,0.0,0.0,-2.361388467202223,0.0,0.0,-3.104611309424847,-13.06062333280564,-3.7868385825220177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.092671664731376,-14.470959111189401,0.0,0.0,0.0,-3.818413277028035,0.0
mmu03320,PPAR signaling pathway - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.36659932342103,0.0,0.0,-2.4763757446089096,-10.139958778595235,-4.210689527243433,-2.5035307920496814,0.0,0.0,0.0,0.0,0.0,0.0,-2.6842698544701804,0.0,0.0,-9.018156230017484,0.0,0.0,-2.7678831839412577,-7.659531378609858,0.0
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.106144691897974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.249621574401852,0.0,0.0,0.0,-5.53233494010915,0.0
R-MMU-8963898,Plasma lipoprotein assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.234650395428808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.078615625596518,0.0,0.0,0.0,-4.93920145066367,0.0
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.330668202152996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6818888455279755,0.0,0.0,0.0,-2.5485823494435214,0.0
mmu04936,Alcoholic liver disease - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.389773400051208,0.0,0.0,0.0,-5.065812342573376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3899899645958596,0.0,0.0,0.0,-5.063969564633247,0.0
GO:1905952,regulation of lipid localization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3290124624242665,-2.493986633814113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.249937714663941,0.0,0.0,-6.3241761524351725,0.0,0.0,0.0,-3.263357456506927,0.0
GO:0010038,response to metal ion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3424544675793375,-10.665278698407697,0.0,0.0,0.0,-2.0463094377526123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1883325368463105,0.0,0.0,-2.45161193863268,-5.292920828399792,0.0
GO:0031667,response to nutrient levels,0.0,0.0,0.0,0.0,-3.2946732643148433,-3.5166242185292527,0.0,0.0,-6.390212914561588,-6.259677421367488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1697640621754215,-14.484102915616692,0.0,0.0,0.0,0.0,0.0
GO:0007584,response to nutrient,0.0,0.0,0.0,0.0,-5.579394851267949,-2.5849886967014712,0.0,0.0,-4.196123633903805,-4.225361536484434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.999126876379293,-7.516236435086607,0.0,0.0,0.0,0.0,0.0
GO:0019725,cellular homeostasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6266722654508805,-4.763126089462783,0.0,-2.3255604596376367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3431713442441464,0.0,-3.760002180320377,0.0,0.0,0.0,0.0,0.0
WP79,Tryptophan metabolism,0.0,0.0,0.0,0.0,-4.951468110915883,0.0,0.0,0.0,-2.8878278274737115,-4.504956897566719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.674571636418468,0.0,0.0,-7.8492053639254475,0.0,0.0,0.0,0.0,0.0
GO:0009636,response to toxic substance,0.0,0.0,0.0,0.0,-4.031213276273347,0.0,0.0,0.0,-7.365771398154371,-4.544206872119888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.042458471801844,0.0,0.0,-10.801362422236943,0.0,0.0,0.0,0.0,0.0
GO:0090181,regulation of cholesterol metabolic process,0.0,0.0,0.0,-3.6091034116315064,-2.6399751257035127,0.0,0.0,0.0,-2.5424882462912555,-5.230932603522655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.913618996971859,0.0,0.0,-7.99477084576851,0.0,0.0,0.0,0.0,0.0
mmu00640,Propanoate metabolism - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-8.931364362897622,0.0,0.0,0.0,0.0,-2.737229939932011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809777545579891,0.0,0.0,-3.5430724103953093,0.0,0.0,0.0,0.0,0.0
R-MMU-1592230,Mitochondrial biogenesis,0.0,0.0,0.0,0.0,-11.966819255084848,0.0,0.0,0.0,-3.6348798825991095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9097137883197317,0.0,0.0,-4.729248721036311,0.0,0.0,0.0,-5.515121242539399,0.0
CORUM:3047,Parvulin-associated pre-rRNP complex,0.0,0.0,0.0,0.0,-10.776592235237436,0.0,0.0,0.0,-4.731353702522648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.37469976415916,0.0,0.0,-8.28653227278607,0.0,0.0,0.0,0.0,0.0
mmu01240,Biosynthesis of cofactors - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-4.767139327072337,0.0,0.0,-2.923319626151893,0.0,-2.85549363340701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1782781954156825,0.0,0.0,-3.0852118496846903,0.0,0.0,0.0,-4.571302183188987,0.0
mmu00071,Fatty acid degradation - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-8.694621439194213,0.0,0.0,-2.753691542763606,0.0,-6.802120357465146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0480170860189713,0.0,0.0,-7.344003427618066,0.0,0.0,0.0,-9.688629854503095,0.0
mmu00620,Pyruvate metabolism - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-9.185811759835552,0.0,0.0,0.0,0.0,-4.454313938149391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7788861958219275,0.0,0.0,-4.492462868850469,0.0,0.0,-2.8973600960118215,-3.2997047674059843,0.0
mmu00280,"Valine, leucine and isoleucine degradation - Mus musculus (house mouse)",0.0,0.0,0.0,0.0,-10.5152610204673,-3.0015167708766963,0.0,-4.378157766059047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4428134775235257,-7.623516378597285,0.0,0.0,-5.932128886199487,0.0,0.0,0.0,-3.0163555926289125,0.0
mmu00630,Glyoxylate and dicarboxylate metabolism - Mus musculus (house mouse),0.0,0.0,0.0,-3.382901180013132,-4.911283639661777,-2.296015035856861,0.0,-4.701679729902723,0.0,-2.608147470062329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4023659818225065,0.0,0.0,-3.3281514030459016,0.0,0.0,0.0,0.0,0.0
GO:0032870,cellular response to hormone stimulus,0.0,0.0,0.0,-3.242644599593129,-2.9735052337164634,0.0,0.0,-2.3418514446165615,-2.0113215849600423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1115981094539293,0.0,-2.1156613590162667,-3.4771358277375213,0.0,0.0,0.0,-2.02858537701568,0.0
GO:0006109,regulation of carbohydrate metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1057798540371824,-4.252153984070512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6851778194821336,0.0,-2.1850368921716283,0.0,0.0,0.0,0.0,-2.9280416964429063,0.0
WP307,Translation factors,0.0,0.0,0.0,0.0,-2.919987641866319,0.0,0.0,-5.727344762744462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.287290304390252,0.0,-2.558730182206372,0.0,0.0,0.0,0.0,0.0,0.0
GO:0044283,small molecule biosynthetic process,0.0,0.0,0.0,-2.6359212787905246,-14.633396257260424,0.0,0.0,-7.1354248335879875,-6.562853393039906,-13.710717926758445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.8818090855196,0.0,-3.245871146979964,-10.053037986926938,0.0,0.0,0.0,-12.00439129851927,0.0
GO:0008202,steroid metabolic process,0.0,0.0,0.0,-3.9828406683560744,-9.079179568245332,0.0,0.0,-6.932838244107766,-14.457766679275169,-11.542049599275902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.029584063598024,0.0,-3.7505472638560056,-17.888042853664214,0.0,0.0,0.0,-11.65966134302392,0.0
GO:0019216,regulation of lipid metabolic process,0.0,0.0,0.0,-4.410002596282579,-4.172746461363869,0.0,0.0,-2.9621825227241247,-6.89120277673807,-4.8373125371855625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.825616809240177,0.0,-3.225918969729877,-9.151024190692059,0.0,0.0,0.0,-3.589515266283833,0.0
GO:0055088,lipid homeostasis,0.0,0.0,0.0,0.0,-7.893055049595168,0.0,0.0,-3.795145952536433,-7.688018393332305,-2.2737347376014525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.42094908448868,-2.5842549173433023,-3.8719178253432682,-8.659781126974625,0.0,0.0,0.0,-5.4095465988563305,0.0
R-MMU-211859,Biological oxidations,0.0,0.0,0.0,0.0,-10.893495423675885,-2.042634784080211,0.0,-2.6339115816981624,-4.331515574674278,-9.146357580185315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.485967847087961,0.0,0.0,-7.845231887794539,0.0,0.0,0.0,-8.215014208800154,0.0
GO:0006790,sulfur compound metabolic process,0.0,0.0,0.0,0.0,-11.299553745672366,-3.3182644320837387,0.0,-6.740286899805708,-6.314438903604156,-9.665133413061394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.7761173725952,0.0,0.0,-14.465528863414447,0.0,0.0,0.0,-5.410279103963562,0.0
R-MMU-9609507,Protein localization,0.0,0.0,0.0,0.0,-9.149660559731796,-2.136238279178128,0.0,-2.598369472956307,-3.0308193883193573,-6.690344520455016,0.0,0.0,0.0,0.0,0.0,0.0,-2.338832116421967,-6.600707376530301,0.0,0.0,-13.674406063679397,0.0,0.0,0.0,-3.672519085472668,0.0
GO:0009410,response to xenobiotic stimulus,0.0,0.0,0.0,0.0,-7.817353191260728,-2.16043899213744,0.0,-2.2895679429198625,-11.860622252604648,-11.856935218711426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.458884919271917,0.0,-3.245871146979964,-17.962197979596912,0.0,0.0,0.0,-12.00439129851927,0.0
GO:0006721,terpenoid metabolic process,0.0,0.0,0.0,0.0,-4.674571051578429,0.0,0.0,-6.187361114277916,-7.4842493052113515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.479485864410327,0.0,0.0,-7.238500120145823,0.0,0.0,0.0,-4.442773047831956,0.0
GO:0032787,monocarboxylic acid metabolic process,0.0,0.0,0.0,-7.999676412861142,-21.555771763400788,-3.1930040255223187,0.0,-10.564539313945883,-11.378758132650598,-20.20291767222557,-2.6909952555728105,0.0,0.0,0.0,0.0,0.0,0.0,-21.90066052957944,0.0,-9.05404441276648,-25.39358061903992,0.0,0.0,-3.7625457854855857,-18.398719281998776,0.0
GO:0044282,small molecule catabolic process,0.0,0.0,0.0,-4.306264557237829,-17.90365053879758,-2.6799580754367347,0.0,-9.607880845112645,-12.061463978339399,-22.35837624934896,-2.2989158611519875,0.0,0.0,0.0,0.0,0.0,-3.043331269409526,-17.216804316758296,0.0,-5.437872138301035,-25.056061870090538,0.0,0.0,0.0,-19.136408073554495,0.0
R-MMU-9837999,Mitochondrial protein degradation,0.0,0.0,0.0,-2.1306102156297975,-7.559457786813168,0.0,0.0,-6.1916583574490165,-2.0811796659209785,-3.436810624261978,0.0,-5.01003297018225,0.0,0.0,0.0,0.0,0.0,-5.783613266104294,0.0,-3.1685099025984416,-4.757138903151566,0.0,0.0,-4.928095642913874,-5.639496198630042,0.0
mmu01200,Carbon metabolism - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-16.505932129726197,0.0,0.0,-7.021941522280478,-2.122767319667098,-6.399657158343463,-3.741507459512539,-2.014230262635571,0.0,0.0,0.0,0.0,0.0,-15.923591894544169,0.0,0.0,-3.315946770273605,0.0,0.0,-9.777615686054729,-7.559199224847243,0.0
GO:0015980,energy derivation by oxidation of organic compounds,0.0,0.0,0.0,0.0,-34.84747043306461,0.0,0.0,-4.885317821882682,-3.5706212781008104,-3.20945792384039,-6.776909372280891,-18.16435668141559,0.0,0.0,0.0,0.0,0.0,-19.13498733141086,0.0,-9.210848067424942,-12.875270500736038,0.0,-2.4095069409027654,-15.62190271244714,-5.426792168247096,0.0
mmu00020,Citrate cycle (TCA cycle) - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-4.143069840882592,0.0,0.0,-7.524935536306136,0.0,-2.737229939932011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.738244788754409,0.0,0.0,0.0,0.0,0.0,-7.7644871168413285,-2.756495371917973,0.0
GO:0072524,pyridine-containing compound metabolic process,0.0,0.0,0.0,0.0,-4.399406120784673,0.0,0.0,-2.497252849511809,0.0,-4.7088596052954586,-5.099591193534266,0.0,0.0,0.0,0.0,0.0,-2.7343008732906378,-4.240731676945987,0.0,-2.7276992694847246,0.0,0.0,0.0,-5.725405494091887,-3.0232672779709184,0.0
R-MMU-72766,Translation,0.0,-5.9687474292371085,-7.280194016061841,-3.1777240232859802,-23.982598366741023,0.0,0.0,0.0,-12.857024922761795,0.0,0.0,-6.046153667055575,0.0,0.0,0.0,0.0,-8.90453709801122,-14.410632801561663,-4.252245834334287,-2.50702158622687,-26.7037397266132,0.0,0.0,0.0,0.0,0.0
